
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
16	0.12875335761781348		0.7729166666666667		0.21960431409314066		0.1
17	0.12731743671698786		0.7662500000000001		0.2172254933217855		0.1
18	0.12881858664009238		0.7729166666666667		0.21971643218854436		0.1
19	0.12657591631883713		0.7729166666666667		0.21648654535643352		0.1
20	0.12612594906578883		0.7729166666666667		0.21578120041467583		0.1
21	0.1259182959712179		0.7729166666666667		0.21547059423496542		0.1
22	0.12580593642065607		0.7729166666666667		0.21530575907013025		0.1

n-grams(1-3)
df		 Precision 				 Recall 				 F-score 				 C
4	0.13519778121555107		0.7345833333333334		0.22661243028995298		0.1
5	0.13551710423298113		0.7345833333333334		0.22706525948194428		0.1
6	0.1344082253031222		0.7345833333333334		0.22551583817855086		0.1
7	0.13281216748260616		0.7345833333333334		0.22345697536736756		0.1
8	0.1342096039403727		0.7533333333333334		0.22648231732224886		0.1
9	0.13470845355015346		0.76					0.2274691518035216		0.1
10	0.13158222180185677		0.76					0.22315015997153936		0.1
11	0.13213417259174473		0.7662500000000001		0.22418340874502785		0.1
12	0.131737745739776		0.7662500000000001		0.2235968183765304		0.1
13	0.13170458687807404		0.7662500000000001		0.22355507976112582		0.1
14	0.13147962645745978		0.7662500000000001		0.22322290199836345		0.1
15	0.1307700026919007		0.7662500000000001		0.22213508979821062		0.1
16	0.13040539391730327		0.7662500000000001		0.22166311031820013		0.1
17	0.1302397811500645		0.7662500000000001		0.22142685602266748		0.1
18	0.13036354642396392		0.7662500000000001		0.22157169721652786		0.1
19	0.12824985304606423		0.7662500000000001		0.2185614411942285		0.1
20	0.13003932601893717		0.7729166666666667		0.22126449026786368		0.1
21	0.13034363165410387		0.7729166666666667		0.2216751870666945		0.1
22	0.13034363165410387		0.7729166666666667		0.2216751870666945		0.1
23	0.13224665009028982		0.7795833333333333		0.2246352329754277		0.1




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
2	0.15074544625823397		0.6912499999999999		0.24492280798250948		0.1
3	0.13982599838569426		0.72875					0.232908079797376		0.1
4	0.13702543656755156		0.7416666666666667		0.22991502941037828		0.1
5	0.13556984766929558		0.7479166666666667		0.22819872936102487		0.1
6	0.13490016765786578		0.7608333333333334		0.22792518406949075		0.1
7	0.13311154005580667		0.7608333333333334		0.22540843987996545		0.1
8	0.13657222427319998		0.7866666666666666		0.23164764450457326		0.1
9	0.13422268233172613		0.7995833333333333		0.22888364417826973		0.1
10	0.12872489356184674		0.7995833333333333		0.22101094334809704		0.1
11	0.12790101077081983		0.7995833333333333		0.2198358852015327		0.1
12	0.12767002002582614		0.7995833333333333		0.2194771067888745		0.1
13	0.12693767382031104		0.7995833333333333		0.218383341050682		0.1
14	0.12723874275317174		0.8058333333333334		0.21901755478604207		0.1
15	0.12753182467077098		0.8058333333333334		0.21948151897467186		0.1
16	0.1254369335801635		0.8058333333333334		0.21640553481444966		0.1
17	0.12568921212962286		0.8058333333333334		0.2167727905533106		0.1
18	0.12534338208346174		0.8058333333333334		0.21624790102844865		0.1
19	0.125615910194065		0.8058333333333334		0.2165974224956814		0.1
20	0.12520208413064413		0.8058333333333334		0.21599816397408436		0.1
21	0.1251239834514155		0.8058333333333334		0.2159598339137327		0.1

n-grams(1-2)
df		 Precision 				 Recall 				 F-score 				 C
3	0.13852296442440223		0.7416666666666667		0.23171841052480185		0.1
4	0.13686501542723833		0.7733333333333333		0.23130234662235064		0.1
5	0.13622549234024967		0.78625					0.2309233497925148		0.1
6	0.1354425333854483		0.78625					0.22983111114581103		0.1
7	0.13521013751161087		0.78625					0.22946428036075678		0.1
8	0.13507513105989974		0.78625					0.2293282895243199		0.1
9	0.13317714242511597		0.7795833333333333		0.2264319319350759		0.1
10	0.13461532847760793		0.7858333333333334		0.22874524402892407		0.1
11	0.13454690026031518		0.7858333333333334		0.2286296976717372		0.1
12	0.1340801742118955		0.7858333333333334		0.22794636431542994		0.1
13	0.13302020243218246		0.7795833333333333		0.2260985710134628		0.1
14	0.13339091006695547		0.7795833333333333		0.22668644141959765		0.1
15	0.13359758782855313		0.7795833333333333		0.2269079203551933		0.1
16	0.13332719731300963		0.7795833333333333		0.22653758102267396		0.1
17	0.13321838329896402		0.7795833333333333		0.2263985004255781		0.1
18	0.1323142195564			0.7795833333333333		0.22506251450932205		0.1
19	0.13158009519713693		0.7795833333333333		0.2240414395009652		0.1
20	0.13141410949744334		0.7795833333333333		0.22379872105436327		0.1
21	0.13104769580998515		0.7795833333333333		0.223276583417564		0.1
22	0.13095024453562237		0.7795833333333333		0.22312622487025885		0.1

n-grams(1-3)
df		 Precision 				 Recall 				 F-score 				 C
4	0.1347021734931157		0.7479166666666667		0.22696594191662506		0.1
5	0.13850805885691592		0.78					0.23384592273889596		0.1
6	0.13657641741445864		0.78					0.23105041395483483		0.1
7	0.137457140294947		0.78625					0.23261961469565487		0.1
8	0.13666292251048373		0.78625					0.23154966561732576		0.1
9	0.13530354226901942		0.7795833333333333		0.22938951949244157		0.1
10	0.13476462932587413		0.7795833333333333		0.22867736064912497		0.1
11	0.13451167704327796		0.7795833333333333		0.22833694145707795		0.1
12	0.13445163673310395		0.7795833333333333		0.22822116112434662		0.1
13	0.1346321706040686		0.7795833333333333		0.22839712430118916		0.1
14	0.13502403022872886		0.7795833333333333		0.22894647093564213		0.1
15	0.13521701268486921		0.7795833333333333		0.2292150912042624		0.1
16	0.13468728427368196		0.7795833333333333		0.22848895700694793		0.1
17	0.13459346276338446		0.7795833333333333		0.22837300849405287		0.1
18	0.13437863001925124		0.7795833333333333		0.2280486135540097		0.1
19	0.13413692521375925		0.7795833333333333		0.22768680408914682		0.1
20	0.13393630792980865		0.7795833333333333		0.2274075944671537		0.1
21	0.13425820418778497		0.7795833333333333		0.22782822191141133		0.1
22	0.1341224223770514		0.7795833333333333		0.22763143150584392		0.1
23	0.13585049255249002		0.78625					0.23040396413753145		0.1



