
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
15	0.33060349019551794		0.8						0.46204908270660106		0.1
16	0.31914201020710004		0.7870833333333334		0.44781858168032757		0.1
17	0.31037345644144504		0.7808333333333334		0.43881874898131834		0.1
18	0.31553792737860664		0.7870833333333334		0.44474109290983		0.1
19	0.3159634615254268		0.7937500000000001		0.4460922043076005		0.1
20	0.317388073664003		0.8						0.44866061579197647		0.1
21	0.3022560533600748		0.7741666666666667		0.428674205905727		0.1

n-grams(1-2)
df		 Precision 				 Recall 				 F-score 				 C
3	0.40876164444593854		0.7299999999999999		0.5169030441247922		0.1
4	0.39458785853522693		0.7366666666666667		0.5071606049667561		0.1
5	0.3873198844683524		0.7495833333333334		0.5035986538644155		0.1
6	0.37865780207101596		0.7370833333333333		0.49288220625934465		0.1
7	0.36358381335355017		0.7241666666666667		0.47744746437056396		0.1
8	0.3570939473956715		0.7308333333333333		0.47388188549771104		0.1
9	0.3624621572570756		0.7629166666666667		0.48548531188078786		0.1
10	0.3544524552024552		0.75					0.475336613413583		0.1
11	0.352071626504665		0.75625					0.4737121497491474		0.1
12	0.35011113858861787		0.7625					0.47268139956539945		0.1
13	0.3482787389621006		0.7625					0.470706609649433		0.1
14	0.34775718013921286		0.76875					0.4710400910853827		0.1
15	0.3387787212787213		0.7625					0.46172482331853065		0.1
16	0.33244647649544956		0.7625					0.4550395592949806		0.1
17	0.3312563605960083		0.76875					0.4554328140983224		0.1
18	0.3301821028045832		0.775					0.455339114574224		0.1
19	0.3321927534682223		0.7875					0.45906693851314156		0.1
20	0.3316893330288832		0.7879166666666666		0.45875283024277885		0.1
21	0.32273866129208323		0.7879166666666666		0.4496330113163646		0.1
22	0.3200315413680684		0.78125					0.44575140690541326		0.1

n-grams(1-3)
df		 Precision 				 Recall 				 F-score 				 C
4	0.38947842032895486		0.7179166666666668		0.49794648971881983		0.1
5	0.37765477034792033		0.7179166666666668		0.4872320159183795		0.1
6	0.3694550761906585		0.7179166666666668		0.48078485917831093		0.1
7	0.36226317549875786		0.7116666666666667		0.47360363283289253		0.1
8	0.3557810729389013		0.7179166666666668		0.46931006561348604		0.1
9	0.3536916683582788		0.73125					0.4706678450766809		0.1
10	0.3533122233898368		0.74375					0.472956026458699		0.1
11	0.35405585819479163		0.7495833333333334		0.4739290743528032		0.1
12	0.35248256575619663		0.7625					0.4745938580009992		0.1
13	0.34381052617894725		0.7558333333333334		0.46443275076896784		0.1
14	0.34787031763452597		0.7625					0.46951126024385614		0.1
15	0.33486754462390483		0.75					0.45496395067942463		0.1
16	0.33546111250656196		0.7629166666666667		0.4578925523165155		0.1
17	0.3308688822888735		0.7625					0.4537075503550071		0.1
18	0.3286151443204389		0.7625					0.4516584458202444		0.1
19	0.33000705686466675		0.7754166666666666		0.4552104053756768		0.1
20	0.32457496309288825		0.7691666666666667		0.44883518365563113		0.1
21	0.3188220262638162		0.78125					0.4449335607659976		0.1
22	0.3207570078094329		0.7875					0.44754406578793626		0.1
23	0.31866660853588274		0.78125					0.4446154949795503		0.1



