
------------------------------- TF-IDF TRUE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 
21	0.5451153123192596		0.72375					0.6141025758511989		10.0
22	0.5434987709658762		0.7108333333333333		0.6080612403980987		10.0

n-grams(1-3)
df		 Precision 				 Recall 				 F-score 				 C
4	0.6047433088067763		0.6783333333333333		0.6272556769539528		10.0
5	0.6009065246758745		0.6849999999999999		0.6296554928201201		10.0
6	0.5822420561894246		0.6979166666666666		0.6241038756150317		10.0
7	0.5837563176417666		0.7041666666666666		0.6274600858005103		10.0
8	0.5765977963385085		0.7108333333333333		0.6259924647503465		10.0
9	0.5793653676045316		0.72375					0.6343500192438036		10.0
10	0.572843935819942		0.7366666666666666		0.635708121191992		10.0
11	0.5733795886775763		0.7366666666666666		0.6353229496577099		10.0
12	0.5687351567421227		0.7366666666666666		0.6328293559876457		10.0
13	0.5590027910685805		0.7304166666666666		0.6259968442936298		10.0
14	0.5587334616184731		0.7424999999999999		0.6305820154887082		10.0
15	0.5532259180560096		0.7424999999999999		0.6268069179674807		10.0
16	0.5515980291638185		0.72375					0.6189457446109513		10.0
17	0.5473796583850932		0.72375					0.6176057081392644		10.0
18	0.554099025974026		0.7370833333333333		0.6266401619105603		10.0
19	0.536142156851539		0.7104166666666667		0.6030758811590907		10.0
20	0.5409382379634096		0.7170833333333333		0.6087764311320866		10.0
21	0.538945484340221		0.7170833333333333		0.6072919507002377		10.0
22	0.5434395319592688		0.7170833333333333		0.610448289100937		10.0
23	0.5424584824248305		0.7170833333333333		0.60935374313797		10.0




------------------------------- TF-IDF FALSE -------------------------------
n-grams(1-1)
df		 Precision 				 Recall 				 F-score 				 C
2	0.5279730778559301		0.6929166666666666		0.5907440747308834		0.1
3	0.5266625939849623		0.6929166666666666		0.5895915924613799		0.1
4	0.5252678571428571		0.6929166666666666		0.588943121690958		0.1
5	0.5192752185415228		0.6929166666666666		0.5846612466773756		0.1
6	0.5259584628334628		0.6929166666666666		0.5875238744260199		0.1
7	0.5229027332316807		0.6929166666666666		0.5849484501645492		0.1
8	0.5182196184398702		0.6991666666666666		0.5844295180991873		0.1
9	0.5042800859271448		0.6991666666666666		0.5751864031627207		0.1
10	0.5037114556136296		0.6866666666666666		0.5701122059677279		0.1
11	0.5054037633059373		0.6866666666666666		0.5714536693823622		0.1
12	0.5042092911114651		0.6866666666666666		0.5703151688792916		0.1
13	0.5075682654704394		0.6866666666666666		0.5728761444890477		0.1
14	0.5069909699589334		0.6866666666666666		0.5718479890642298		0.1
15	0.515800493768457		0.6866666666666666		0.5766270118266489		0.1
16	0.5020771439889087		0.6866666666666666		0.5654570290442285		0.1
17	0.507353497265262		0.6866666666666666		0.5696596868515375		0.1
18	0.5037404436522084		0.6866666666666666		0.5696596868515375		0.1
19	0.4965331890331891		0.6799999999999999		0.5618332677031963		0.1
20	0.4957826714348454		0.6799999999999999		0.561485612355541		0.1
21	0.4968416124937865		0.6799999999999999		0.5620311422977333		0.1

n-grams(1-2)
df		 Precision 				 Recall 				 F-score 				 C
3	0.5845969340686833		0.68625					0.6201298041739218		0.1
4	0.5759383669735836		0.6925					0.6194855464708405		0.1
5	0.5739775826598581		0.6925					0.6181783569283569		0.1
6	0.5612020944741531		0.6991666666666666		0.6126056413556413		0.1
7	0.561974558074503		0.7058333333333333		0.6159434486622202		0.1
8	0.5556903941072728		0.7054166666666666		0.6121368601187894		0.1
9	0.5530804275979592		0.6991666666666666		0.6073684756563822		0.1
10	0.5530788268258979		0.6991666666666666		0.6065047835083597		0.1
11	0.5451368763615018		0.6991666666666666		0.60264455771265		0.1
12	0.5475745096029107		0.69875					0.6043278312481363		0.1
13	0.5437311263144473		0.68625					0.5950952820988583		0.1
14	0.5412091730355282		0.68625					0.5949956570650228		0.1
15	0.5450664751914752		0.6991666666666666		0.6031686815062134		0.1
16	0.538398872378799		0.6991666666666666		0.5989805699876528		0.1
17	0.5375317051257622		0.6991666666666666		0.5985397890521901		0.1
18	0.5334428858035669		0.6991666666666666		0.5961177942808744		0.1
19	0.5201314636366461		0.6925					0.584269753967111		0.1
20	0.5163053766801243		0.6925					0.5813750171250056		0.1
21	0.5139369556274928		0.6925					0.5799464456964343		0.1
22	0.522569063857427		0.68625					0.5803467854426608		0.1

n-grams(1-3)
df		 Precision 				 Recall 				 F-score 				 C
4	0.5765986350680623		0.6799999999999999		0.6145121381886087		0.1
5	0.5703486350680622		0.68625					0.6138923902894491		0.1
6	0.5729998913961256		0.6991666666666666		0.619756852717379		0.1
7	0.5585346902890975		0.6929166666666666		0.6085279831507794		0.1
8	0.5504820587101502		0.68625					0.6014156510384472		0.1
9	0.5565032839813419		0.6866666666666666		0.604076709210591		0.1
10	0.5519287181962498		0.6929166666666666		0.603331531610471		0.1
11	0.5446508564586694		0.6929166666666666		0.5987929780587595		0.1
12	0.5465739333817463		0.6991666666666666		0.6034727810144247		0.1
13	0.5368475493650811		0.6929166666666666		0.5941589495857219		0.1
14	0.5385265297937248		0.6929166666666666		0.5966074459955643		0.1
15	0.5408917345442281		0.6995833333333332		0.6004774750921301		0.1
16	0.5361164731811016		0.6995833333333332		0.5975706353939942		0.1
17	0.5335828255739414		0.6995833333333332		0.5961799819746411		0.1
18	0.533538123898805		0.6995833333333332		0.5959757291388093		0.1
19	0.5181285790531989		0.6929166666666666		0.5816741999427082		0.1
20	0.5160233158953041		0.6866666666666666		0.5778646761331844		0.1
21	0.5168480616639857		0.6929166666666666		0.5813727725115378		0.1
22	0.5203456659850523		0.6799999999999999		0.5786730524433967		0.1
23	0.5203456659850523		0.6799999999999999		0.5786730524433967		0.1



